qid,figure_index,figure_count,session,paper,question,file_name,relative_path,public_url
0580-2018March-Paper12-Q07,0,1,2018March,Paper12,Q07,Q07-PentagonKite.png,2018March/Paper12/Q07/Q07-PentagonKite.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper12/Q07/Q07-PentagonKite.png
0580-2018March-Paper12-Q11,0,1,2018March,Paper12,Q11,Q11-GridShape.png,2018March/Paper12/Q11/Q11-GridShape.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper12/Q11/Q11-GridShape.png
0580-2018March-Paper12-Q20,0,1,2018March,Paper12,Q20,Q20-GeometryAngles.png,2018March/Paper12/Q20/Q20-GeometryAngles.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper12/Q20/Q20-GeometryAngles.png
0580-2018March-Paper12-Q23,0,1,2018March,Paper12,Q23,Q23-TriangleABC.png,2018March/Paper12/Q23/Q23-TriangleABC.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper12/Q23/Q23-TriangleABC.png
0580-2018March-Paper12-Q24,0,2,2018March,Paper12,Q24,Q24-GeometryAngleBisector.png,2018March/Paper12/Q24/Q24-GeometryAngleBisector.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper12/Q24/Q24-GeometryAngleBisector.png
0580-2018March-Paper12-Q24,1,2,2018March,Paper12,Q24,Q24-GeometryPerpendicularBisector.png,2018March/Paper12/Q24/Q24-GeometryPerpendicularBisector.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper12/Q24/Q24-GeometryPerpendicularBisector.png
0580-2018March-Paper22-Q05,0,1,2018March,Paper22,Q05,Q05-PentagonKite.png,2018March/Paper22/Q05/Q05-PentagonKite.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper22/Q05/Q05-PentagonKite.png
0580-2018March-Paper22-Q07,0,1,2018March,Paper22,Q07,Q07-HexagonVectors.png,2018March/Paper22/Q07/Q07-HexagonVectors.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper22/Q07/Q07-HexagonVectors.png
0580-2018March-Paper22-Q14,0,1,2018March,Paper22,Q14,Q14-CircleCyclicQuad.png,2018March/Paper22/Q14/Q14-CircleCyclicQuad.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper22/Q14/Q14-CircleCyclicQuad.png
0580-2018March-Paper22-Q15,0,1,2018March,Paper22,Q15,Q15-ParallelAngles.png,2018March/Paper22/Q15/Q15-ParallelAngles.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper22/Q15/Q15-ParallelAngles.png
0580-2018March-Paper22-Q16,0,1,2018March,Paper22,Q16,Q16-RightTriangle.png,2018March/Paper22/Q16/Q16-RightTriangle.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper22/Q16/Q16-RightTriangle.png
0580-2018March-Paper22-Q18,0,2,2018March,Paper22,Q18,Q18-AngleBisector.png,2018March/Paper22/Q18/Q18-AngleBisector.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper22/Q18/Q18-AngleBisector.png
0580-2018March-Paper22-Q18,1,2,2018March,Paper22,Q18,Q18-PerpendicularBisector.png,2018March/Paper22/Q18/Q18-PerpendicularBisector.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper22/Q18/Q18-PerpendicularBisector.png
0580-2018March-Paper22-Q19,0,1,2018March,Paper22,Q19,Q19-VennDiagram.png,2018March/Paper22/Q19/Q19-VennDiagram.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper22/Q19/Q19-VennDiagram.png
0580-2018March-Paper22-Q20,0,1,2018March,Paper22,Q20,Q20-CoordinateTransform.png,2018March/Paper22/Q20/Q20-CoordinateTransform.png,https://git25math.github.io/25maths-cie0580-figures/2018March/Paper22/Q20/Q20-CoordinateTransform.png
